epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,3252.114255,3251.279029,0.021474,0.813758,0.701319,317.031311,316.164238,0.020520,0.846548,0.687320,1.00e-04
2,1.000,1.000,1744.946940,1744.066586,0.020769,0.859577,0.693207,252.119732,251.201378,0.019521,0.898838,0.684762,1.00e-04
3,1.000,1.000,1262.066661,1261.131650,0.019881,0.915132,0.694110,219.494110,218.517868,0.018382,0.957858,0.683136,1.00e-04
4,1.000,1.000,859.969361,858.977469,0.018966,0.972926,0.692862,196.951500,195.919662,0.018157,1.013681,0.681873,1.00e-04
5,1.000,1.000,529.283798,528.237155,0.019742,1.026902,0.693061,184.402935,183.316761,0.018974,1.067196,0.681812,1.00e-04
6,1.000,1.000,449.490102,448.384806,0.020601,1.084695,0.696168,169.546734,168.393414,0.019543,1.133774,0.682358,1.00e-04
7,1.000,1.000,384.601319,383.423866,0.020943,1.156511,0.694004,160.400723,159.169636,0.020383,1.210703,0.686149,1.00e-04
8,1.000,1.000,317.537389,316.278044,0.021177,1.238166,0.697759,151.120754,149.794048,0.020836,1.305869,0.685581,1.00e-04
9,1.000,1.000,299.434006,298.074503,0.021158,1.338347,0.696632,145.665276,144.231354,0.021042,1.412873,0.685856,1.00e-04
10,1.000,1.000,273.105966,271.631125,0.021131,1.453711,0.698280,142.521301,140.958401,0.021090,1.541812,0.685582,1.00e-04
11,1.000,1.000,240.503598,238.901536,0.021063,1.580999,0.696985,132.980656,131.301361,0.021079,1.658218,0.685205,1.00e-04
12,1.000,1.000,237.810308,236.086207,0.021029,1.703073,0.697446,128.675123,126.851772,0.021128,1.802220,0.685438,1.00e-04
13,1.000,1.000,220.402240,218.528628,0.021059,1.852551,0.696928,124.501205,122.529016,0.021168,1.951018,0.685740,1.00e-04
14,1.000,1.000,218.078901,216.054217,0.021063,2.003620,0.697953,117.983318,115.853842,0.021180,2.108297,0.686893,1.00e-04
15,1.000,1.000,208.525023,206.348113,0.021069,2.155840,0.698234,114.318453,112.052134,0.021160,2.245159,0.688348,1.00e-04
16,1.000,1.000,189.835499,187.510582,0.021049,2.303869,0.700712,110.472103,108.028978,0.021144,2.421981,0.686221,1.00e-04
17,1.000,1.000,179.954926,177.460560,0.021013,2.473355,0.696088,106.622528,104.031488,0.021116,2.569927,0.686261,1.00e-04
18,1.000,1.000,178.247615,175.602884,0.020956,2.623775,0.696516,102.709703,99.964201,0.021110,2.724395,0.686832,1.00e-04
19,1.000,1.000,168.358512,165.568157,0.021016,2.769339,0.697678,100.765255,97.882912,0.021123,2.861223,0.687698,1.00e-04
20,1.000,1.000,165.398798,162.465078,0.021030,2.912691,0.697783,97.332991,94.302094,0.021167,3.009730,0.687447,1.00e-04
21,1.000,1.000,159.283820,156.211327,0.021042,3.051452,0.697955,95.116821,91.966520,0.021195,3.129110,0.686750,1.00e-04
22,1.000,1.000,154.406175,151.210972,0.021061,3.174141,0.695173,92.307707,89.030035,0.021223,3.256448,0.687751,1.00e-04
23,1.000,1.000,153.600446,150.288590,0.021068,3.290790,0.697775,90.671396,87.274479,0.021269,3.375649,0.688740,1.00e-04
24,1.000,1.000,144.404607,140.972851,0.021121,3.410636,0.696679,87.388096,83.876713,0.021293,3.490088,0.688985,1.00e-04
25,1.000,1.000,142.304121,138.762309,0.021167,3.520646,0.696009,86.098820,82.488302,0.021333,3.589184,0.688355,1.00e-04
26,1.000,1.000,136.251869,132.609465,0.021193,3.621211,0.697475,83.438650,79.723597,0.021366,3.693689,0.688762,1.00e-04
27,1.000,1.000,136.346285,132.608532,0.021242,3.716509,0.698096,82.497482,78.702435,0.021398,3.773651,0.688880,1.00e-04
28,1.000,1.000,135.933448,132.113091,0.021242,3.799115,0.699004,80.630178,76.748442,0.021436,3.860300,0.688711,1.00e-04
29,1.000,1.000,130.213141,126.314407,0.021294,3.877440,0.697532,78.974342,75.031656,0.021469,3.921217,0.688234,1.00e-04
30,1.000,1.000,127.212630,123.246476,0.021326,3.944828,0.695126,76.991322,72.975552,0.021549,3.994223,0.689534,1.00e-04
31,1.000,1.000,123.733446,119.704984,0.021409,4.007053,0.699066,75.758064,71.700863,0.021622,4.035579,0.690314,1.00e-04
32,1.000,1.000,120.811144,116.743245,0.021460,4.046441,0.697508,74.486872,70.366323,0.021657,4.098889,0.688996,1.00e-04
33,1.000,1.000,118.365975,114.235673,0.021511,4.108790,0.696138,73.149233,68.985636,0.021667,4.141927,0.689502,1.00e-04
34,1.000,1.000,118.036424,113.865759,0.021518,4.149148,0.695078,71.930233,67.729387,0.021675,4.179172,0.689146,1.00e-04
35,1.000,1.000,114.273269,110.061339,0.021525,4.190405,0.695867,70.996710,66.748758,0.021703,4.226248,0.689627,1.00e-04
36,1.000,1.000,111.175909,106.922598,0.021565,4.231746,0.697157,70.432310,66.153856,0.021743,4.256710,0.689799,1.00e-04
37,1.000,1.000,113.945010,109.665536,0.021604,4.257871,0.697228,68.746742,64.440279,0.021788,4.284675,0.688161,1.00e-04
38,1.000,1.000,106.584853,102.275955,0.021658,4.287240,0.695183,68.707775,64.386371,0.021827,4.299576,0.690545,1.00e-04
39,1.000,1.000,106.810159,102.484919,0.021700,4.303540,0.698671,67.415716,63.050895,0.021888,4.342933,0.689633,1.00e-04
40,1.000,1.000,106.842419,102.482253,0.021747,4.338419,0.697514,65.637888,61.257293,0.021930,4.358666,0.690619,1.00e-04
41,1.000,1.000,101.527444,97.150477,0.021806,4.355161,0.697587,65.537397,61.140576,0.021951,4.374869,0.690865,1.00e-04
42,1.000,1.000,101.408381,97.019605,0.021819,4.366957,0.697997,64.738486,60.338473,0.021976,4.378037,0.689268,1.00e-04
43,1.000,1.000,102.643889,98.250336,0.021843,4.371710,0.696789,63.887501,59.466424,0.022002,4.399075,0.690420,1.00e-04
44,1.000,1.000,97.386928,92.972470,0.021889,4.392569,0.697788,62.870399,58.443314,0.022058,4.405028,0.691360,1.00e-04
45,1.000,1.000,95.689395,91.274909,0.021919,4.392567,0.698571,61.938457,57.520673,0.022119,4.395666,0.689288,1.00e-04
46,1.000,1.000,96.517667,92.105827,0.021993,4.389847,0.696511,61.488611,57.044340,0.022169,4.422103,0.689831,1.00e-04
47,1.000,1.000,96.440561,92.008829,0.022048,4.409686,0.696970,60.662003,56.226121,0.022209,4.413672,0.690187,1.00e-04
